Timestamp,Pet,Stress,Dog_Cat,Money
10/27/2023 15:16:04,Yes,1,Cat,50
10/27/2023 17:19:52,No,1,None,0
10/27/2023 17:27:12,No,1,None,0
10/27/2023 17:43:46,Yes,9,Dog,100
10/27/2023 17:48:00,No,10,None,0
10/27/2023 17:51:14,Yes,5,Cat,100
10/27/2023 17:53:20,Yes,5,Dog,300
10/27/2023 17:54:31,No,6,None,0
10/27/2023 17:57:14,No,10,None,0
10/27/2023 17:57:39,No,3,None,0
10/27/2023 17:58:27,Yes,10,Dog,30
10/27/2023 18:05:10,No,2,None,0
10/27/2023 18:29:57,No,4,None,0
10/27/2023 18:35:55,No,6,None,0
10/27/2023 18:39:29,No,10,None,0
10/27/2023 18:49:25,No,6,None,0
10/27/2023 18:53:08,No,10,None,0
10/27/2023 19:14:49,No,3,None,0
10/27/2023 19:23:18,Yes,10,Dog,200
10/27/2023 19:39:23,Yes,7,Dog,400
10/27/2023 19:45:57,No,3,None,0
10/27/2023 23:43:24,No,9,None,0
10/27/2023 23:47:48,Yes,8,Dog,50
10/28/2023 1:42:19,Yes,6,Dog,100
10/28/2023 4:19:56,No,7,None,0
10/28/2023 9:59:10,Yes,5,Dog,400
10/28/2023 10:15:07,No,10,None,0
10/28/2023 10:38:57,Yes,7,Dog,60
10/28/2023 11:40:25,No,2,None,0
10/28/2023 13:00:33,Yes,5,Dog,40
10/28/2023 15:09:24,Yes,7,Dog,70
10/28/2023 17:48:08,Yes,3,Dog,100
10/28/2023 18:39:59,Yes,5,Cat,300
10/29/2023 12:24:22,Yes,7,Dog,30
10/30/2023 12:00:36,Yes,4,Cat,5
10/30/2023 12:09:22,Yes,6,Cat,0
10/30/2023 12:26:52,Yes,4,Cat,100
10/30/2023 12:38:59,No,8,None,0
10/30/2023 12:53:14,No,7,None,0
10/30/2023 12:59:07,Yes,7,Cat,50
10/30/2023 13:02:09,No,10,None,0
10/30/2023 13:03:28,Yes,5,Cat,50
10/30/2023 13:04:29,Yes,5,Dog,900
10/30/2023 13:06:28,Yes,2,Cat,400
10/30/2023 13:06:46,Yes,6,Dog,50
10/30/2023 13:07:23,Yes,10,Dog,30
10/30/2023 13:18:40,Yes,7,Dog,25
10/30/2023 13:19:37,Yes,5,Dog,50
10/30/2023 13:23:41,No,4,None,0
10/30/2023 13:24:04,Yes,3,Cat,50
10/30/2023 13:24:57,Yes,4,Dog,80
10/30/2023 13:25:22,Yes,4,Cat,70
10/30/2023 13:25:22,Yes,3,Cat,49
10/30/2023 13:28:03,Yes,7,Dog,100
10/30/2023 13:29:59,Yes,4,Dog,1000
10/30/2023 13:31:02,Yes,6,Dog,20
10/30/2023 13:31:41,Yes,7,Cat,0
10/30/2023 13:33:25,Yes,8,Dog,75
10/30/2023 13:46:32,Yes,7,Cat,80
10/30/2023 13:48:43,Yes,4,Dog,30
10/30/2023 13:51:45,Yes,6,Cat,0
10/30/2023 13:52:14,No,9,None,0
10/30/2023 13:52:52,Yes,4,Dog,150
10/30/2023 13:53:04,Yes,4,Dog,150
10/30/2023 13:53:05,Yes,4,Dog,150
10/30/2023 13:59:48,Yes,6,Dog,90
10/30/2023 14:10:04,Yes,6,Dog,150
10/30/2023 14:11:11,No,2,None,0
10/30/2023 14:12:38,Yes,7,Dog,50
10/30/2023 14:13:00,No,3,None,0
10/30/2023 14:13:32,No,7,None,0
10/30/2023 14:14:28,Yes,7,Cat,30
10/30/2023 14:20:03,No,7,None,0
10/30/2023 14:24:04,Yes,4,Dog,250
10/30/2023 14:28:29,Yes,2,Dog,0
10/30/2023 14:29:05,Yes,4,Dog,200
10/30/2023 14:33:12,Yes,3,Dog,50
10/30/2023 14:34:21,Yes,7,Cat,0
10/30/2023 14:35:01,Yes,3,Dog,0
10/30/2023 14:36:56,No,1,None,0
10/30/2023 14:38:33,Yes,3,None,0
10/30/2023 14:40:36,Yes,5,Dog,200
10/30/2023 14:41:11,No,5,None,0
10/30/2023 14:41:42,No,0,None,0
10/30/2023 14:43:45,No,9,None,0
10/30/2023 14:44:02,No,9,None,0
10/30/2023 14:44:28,No,7,None,0
10/30/2023 14:45:23,No,6,None,0
10/30/2023 14:46:38,Yes,7,Dog,15
10/30/2023 14:48:26,Yes,1,Dog,150
10/30/2023 14:49:45,No,6,None,0
10/30/2023 14:50:45,Yes,5,Dog,30
10/30/2023 14:51:39,Yes,8,Dog,30
10/30/2023 14:52:31,Yes,8,Cat,200
10/30/2023 14:54:33,No,5,None,0
10/30/2023 14:55:28,No,5,None,0
10/30/2023 14:58:35,No,4,None,0
10/30/2023 14:58:54,Yes,4,Cat,55
10/30/2023 15:00:12,Yes,8,Cat,150
10/30/2023 15:01:17,No,2,None,0
10/30/2023 15:02:42,Yes,8,Dog,100
10/30/2023 15:10:40,Yes,7,Cat,50
10/30/2023 15:23:35,Yes,6,Dog,0
10/30/2023 15:25:32,Yes,3,Dog,25
10/30/2023 15:37:33,No,10,,0
10/30/2023 15:45:54,Yes,7,Dog,300
10/30/2023 17:04:49,No,7,Cat,0
10/30/2023 20:34:23,Yes,6,Cat,200
10/30/2023 22:55:00,Yes,7.5,Dog,250
10/31/2023 8:45:49,Yes,3,Dog,100
10/31/2023 9:36:55,Yes,4,Dog,200